Path,File,Song,Type,Difficulty,Rating,NPS,Peak NPS,% Under .5x NPS,% Over 2x NPS,% Over 3x NPS,% Over 4x NPS,Total Steps,L,D,U,R,L,D,U,R,%L,%D,%U,%R,%L,%D,%U,%R
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Pixel","steps.sm","Pixel","dance-double","Challenge",10,5.50588239612457,12.8,0.0626780626780627,0.00854700854700855,0,0,702,31,62,86,169,161,70,88,35,0.0441595441595442,0.0883190883190883,0.122507122507123,0.240740740740741,0.229344729344729,0.0997150997150997,0.125356125356125,0.0498575498575499,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\On The Rocks","On The Rocks.sm","On The Rocks","dance-double","Challenge",12,5.89326925910226,13.5000135000142,0.0337738619676946,0.198237885462555,0,0,681,33,58,76,165,168,65,74,42,0.0484581497797357,0.0851688693098385,0.111600587371512,0.242290748898678,0.246696035242291,0.0954478707782673,0.108663729809104,0.0616740088105727,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Nodding Hawk","Nodding Hawk.sm","Nodding Hawk","dance-double","Challenge",10,6.04517453798768,12.8001638420968,0.0550724637681159,0.00434782608695652,0,0,690,41,67,78,145,165,78,72,44,0.0594202898550725,0.0971014492753623,0.11304347826087,0.210144927536232,0.239130434782609,0.11304347826087,0.104347826086957,0.063768115942029,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Milkyway -memorable-","Milkyway -memorable-.sm","Milkyway","dance-double","Challenge",11,4.7271412023359,10.3333540000417,0.0740037950664137,0.332068311195446,0,0,527,29,50,69,126,117,54,55,27,0.0550284629981025,0.094876660341556,0.130929791271347,0.239089184060721,0.222011385199241,0.10246679316888,0.104364326375712,0.0512333965844402,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Louder Than Words","Louder Than Words.sm","Louder Than Words","dance-double","Challenge",11,6.03148845127912,17.3328249038034,0.0417149478563152,0.0637311703360371,0,0,863,36,67,97,227,228,73,94,41,0.0417149478563152,0.0776361529548088,0.112398609501738,0.263035921205099,0.264194669756663,0.0845886442641947,0.108922363847045,0.0475086906141367,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Lord=Crossight","Lord=Crossight.sm","Lord=Crossight","dance-double","Challenge",12,6.72284264717749,20.5334592718838,0.0439276485788114,0,0.00258397932816537,0,774,33,61,80,167,187,91,103,52,0.0426356589147287,0.0788113695090439,0.103359173126615,0.215762273901809,0.241602067183463,0.117571059431525,0.133074935400517,0.0671834625322997,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Konoyo Loading","Konoyo Loading.sm","コノヨLoading...","dance-double","Challenge",10,5.60136754587949,17.0665938491998,0.0296875,0.096875,0.00625,0,640,54,66,80,137,130,66,64,43,0.084375,0.103125,0.125,0.2140625,0.203125,0.103125,0.1,0.0671875,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\It's Only Natural","steps.sm","It's Only Natural","dance-double","Challenge",12,5.45,24.0000960003851,0.110091743119266,0.105504587155963,0,0.00305810397553517,654,36,70,78,167,161,48,64,30,0.055045871559633,0.107033639143731,0.119266055045872,0.255351681957187,0.246177370030581,0.073394495412844,0.0978593272171254,0.0458715596330275,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Inside Out","Inside Out.sm","Inside Out","dance-double","Challenge",10,4.85444947551344,20.9336403600587,0.0276422764227642,0.147967479674797,0,0.0422764227642276,615,32,51,65,150,152,63,67,35,0.0520325203252033,0.0829268292682927,0.105691056910569,0.24390243902439,0.247154471544715,0.102439024390244,0.108943089430894,0.0569105691056911,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Hypercube","steps.sm","Hypercube","dance-double","Challenge",12,6.38401008874982,14.5001087508174,0.0425867507886435,0.0583596214511041,0,0,634,38,75,58,139,139,77,73,35,0.0599369085173502,0.118296529968454,0.0914826498422713,0.219242902208202,0.219242902208202,0.121451104100946,0.115141955835962,0.055205047318612,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Hop Step Adventure","Hop Step Adventure.sm","Hop Step Adventure","dance-double","Challenge",13,7.50825819123293,12.0000480001926,0.0653983353151011,0,0,0,841,41,69,101,186,206,92,100,46,0.0487514863258026,0.0820451843043995,0.120095124851367,0.221165279429251,0.244946492271106,0.109393579072533,0.118906064209275,0.0546967895362663,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Here's How!","Here's How!.sm","Here's How!","dance-double","Challenge",11,5.25508657621597,13.8667406226173,0.0852017937219731,0.0343796711509716,0,0,669,34,57,78,171,163,59,74,33,0.0508221225710015,0.0852017937219731,0.116591928251121,0.255605381165919,0.243647234678625,0.0881913303437967,0.110612855007474,0.0493273542600897,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Go Go Girls&Boys!","Go Go Girls&Boys!.sm","Go↓Go↑Girls&Boys!","dance-double","Challenge",9,5.11252032076963,10.5334119828106,0.00837520938023451,0.299832495812395,0,0,597,20,49,68,138,141,61,84,36,0.033500837520938,0.0820770519262982,0.113902847571189,0.231155778894472,0.236180904522613,0.102177554438861,0.14070351758794,0.0603015075376884,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Ga1ahad and Scientific Witchery","Ga1ahad and Scientific Witchery.sm","Ga1ahad and Scientific Witchery","dance-double","Challenge",11,6.42150885367532,11.0667212624931,0.0760719225449516,0,0,0,723,37,76,83,160,167,81,81,38,0.0511756569847856,0.105117565698479,0.114799446749654,0.221300138312586,0.230982019363762,0.112033195020747,0.112033195020747,0.0525587828492393,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Four Seasons of Loneliness","Four Seasons of Loneliness.sm","Four Seasons of Loneliness","dance-double","Challenge",12,7.45470085694963,17.8002456433898,0.0768307322929172,0.0108043217286915,0,0,833,0,91,97,219,222,104,100,0,0,0.109243697478992,0.116446578631453,0.262905162064826,0.266506602641056,0.12484993997599,0.120048019207683,0,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Final Boss","Final Boss.sm","Final Boss","dance-double","Challenge",11,6.24722220920718,17.3334257782742,0.0751445086705202,0.0476878612716763,0,0,692,35,81,83,151,154,71,82,35,0.0505780346820809,0.117052023121387,0.119942196531792,0.218208092485549,0.222543352601156,0.102601156069364,0.11849710982659,0.0505780346820809,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Fake Style","Fake Style.sm","FAKE STYLE","dance-double","Challenge",10,5.05208302634912,12.5000000000003,0.0549828178694158,0.111683848797251,0,0,582,26,42,61,128,141,76,76,32,0.0446735395189003,0.0721649484536082,0.104810996563574,0.219931271477663,0.242268041237113,0.130584192439863,0.130584192439863,0.0549828178694158,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Emera","Emera.sm","Emera","dance-double","Challenge",13,7.50681515067368,21.4668283834419,0.0738060781476122,0.127351664254703,0,0,691,36,68,84,167,156,60,90,30,0.0520984081041968,0.0984081041968162,0.121562952243126,0.241678726483357,0.22575976845152,0.0868306801736614,0.130246020260492,0.0434153400868307,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Different World","Different World.sm","Different World","dance-double","Challenge",10,5.05882352941176,17.0665938491998,0.0806201550387597,0,0.0062015503875969,0,645,24,60,78,153,155,71,73,31,0.0372093023255814,0.0930232558139535,0.12093023255814,0.237209302325581,0.24031007751938,0.110077519379845,0.113178294573643,0.048062015503876,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Destination","Destination.sm","Destination","dance-double","Challenge",11,6.33005660569563,17.000153001378,0.0624,0.0144,0,0,625,25,57,76,132,146,62,89,38,0.04,0.0912,0.1216,0.2112,0.2336,0.0992,0.1424,0.0608,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Deceptive","Deceptive.sm","Deceptive","dance-double","Challenge",10,5.39094650205761,10.6666666666667,0.145038167938931,0,0,0,655,30,68,70,162,150,67,71,37,0.0458015267175573,0.10381679389313,0.106870229007634,0.247328244274809,0.229007633587786,0.102290076335878,0.108396946564885,0.0564885496183206,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Crazy Crazy","steps.sm","Crazy Crazy","dance-double","Challenge",10,5.63973027050026,16.666666666667,0.0514096185737977,0.0447761194029851,0,0,603,26,45,66,137,150,63,88,28,0.0431177446102819,0.0746268656716418,0.109452736318408,0.227197346600332,0.248756218905473,0.104477611940299,0.145936981757877,0.0464344941956882,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Computer Blues","Computer Blues.sm","Computer Blues","dance-double","Challenge",12,6.88484848484848,17.0668851227962,0.0457746478873239,0.0234741784037559,0,0,852,51,68,70,212,218,95,90,48,0.0598591549295775,0.07981220657277,0.0821596244131455,0.248826291079812,0.255868544600939,0.11150234741784,0.105633802816901,0.0563380281690141,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Can't You See","steps.sm","Can't You See","dance-double","Challenge",9,4.33832657984031,8.13338755591778,0.0872865275142315,0,0,0,527,28,45,61,125,124,58,59,27,0.0531309297912713,0.0853889943074004,0.115749525616698,0.23719165085389,0.235294117647059,0.110056925996205,0.111954459203036,0.0512333965844402,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Bumblebee Bazooka","Bumblebee Bazooka.sm","Bumblebee Bazooka","dance-double","Challenge",9,4.62610133432297,15.5000310000626,0.033210332103321,0,0.044280442804428,0,542,20,45,61,134,137,50,69,26,0.03690036900369,0.0830258302583026,0.112546125461255,0.247232472324723,0.252767527675277,0.0922509225092251,0.127306273062731,0.0479704797047971,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Boombayah","Boombayah.sm","Boombayah","dance-double","Challenge",10,4.88660876344257,16.666666666667,0.0626151012891344,0.0276243093922652,0.00184162062615101,0,543,30,61,61,132,133,49,49,28,0.0552486187845304,0.112338858195212,0.112338858195212,0.243093922651934,0.244935543278085,0.0902394106813996,0.0902394106813996,0.0515653775322284,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Beyond Vision","Beyond Vision.sm","Beyond Vision","dance-double","Challenge",11,5.52161834615127,17.4669438088415,0.0601719197707736,0.138968481375358,0.00859598853868195,0,698,39,59,67,181,174,67,80,31,0.0558739255014327,0.0845272206303725,0.0959885386819484,0.259312320916905,0.249283667621777,0.0959885386819484,0.114613180515759,0.0444126074498567,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Bass Bomb","Bass Bomb.sm","Bass Bomb","dance-double","Challenge",12,6.95686274509804,17.0668851227967,0.0383314543404735,0.205186020293123,0,0,887,41,71,94,219,238,79,102,43,0.0462232243517475,0.0800450958286359,0.10597519729425,0.246899661781285,0.268320180383315,0.0890642615558061,0.114994363021421,0.04847801578354,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\Alice in Misanthrope","Alice in Misanthrope.sm","Alice in Misanthrope","dance-double","Challenge",13,8.34579026467882,22.9334128358345,0.0568965517241379,0.126724137931034,0,0,1160,75,102,126,278,266,134,110,69,0.0646551724137931,0.0879310344827586,0.108620689655172,0.239655172413793,0.229310344827586,0.11551724137931,0.0948275862068965,0.0594827586206897,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 9\5.1.5.0","5.1.5.0.sm","5.1.5.0","dance-double","Challenge",12,6.87053575262576,13.5000135000142,0.0745614035087719,0,0,0,684,29,62,83,164,163,65,84,34,0.0423976608187134,0.0906432748538012,0.121345029239766,0.239766081871345,0.238304093567251,0.0950292397660819,0.12280701754386,0.0497076023391813,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\U Got Me Crazy","steps.sm","U Got Me Crazy","dance-double","Challenge",11,5.73352015788248,17.0757737459977,0.0644007155635063,0.035778175313059,0,0,559,37,68,69,104,112,65,74,30,0.0661896243291592,0.121645796064401,0.123434704830054,0.186046511627907,0.200357781753131,0.116279069767442,0.132379248658318,0.0536672629695885,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Turn It Up","Turn It Up.sm","Turn It Up","dance-double","Challenge",9,4.6324219021431,8.93335715561988,0.0847457627118644,0,0,0,531,32,62,61,98,104,62,74,38,0.0602636534839925,0.116760828625235,0.114877589453861,0.184557438794727,0.195856873822976,0.116760828625235,0.139359698681733,0.0715630885122411,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Symmetry","Symmetry.sm","Symmetry","dance-double","Challenge",12,6.49924768142405,16.3001841920814,0.0609579100145138,0.0130624092888244,0,0,689,39,73,82,131,142,82,84,56,0.0566037735849057,0.105950653120464,0.119013062409289,0.190130624092888,0.206095791001451,0.119013062409289,0.121915820029028,0.081277213352685,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Swamp Thing","steps.sm","Swamp Thing","dance-double","Challenge",11,6.32903223473168,18.0001800018006,0.0484927916120577,0.0209698558322412,0,0,763,47,80,100,157,152,99,84,44,0.0615989515072084,0.104849279161206,0.131061598951507,0.205766710353866,0.199213630406291,0.129750982961992,0.110091743119266,0.0576671035386632,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Swag","steps.sm","Swag","dance-double","Challenge",11,5.97909405165536,14.6668426687796,0.0448717948717949,0.0641025641025641,0,0,780,48,96,101,146,144,101,97,47,0.0615384615384615,0.123076923076923,0.129487179487179,0.187179487179487,0.184615384615385,0.129487179487179,0.124358974358974,0.0602564102564103,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Super Fantasy","steps.sm","Super Fantasy","dance-double","Challenge",13,7.46376289668285,9.71203807118947,0.0635118306351183,0,0,0,803,63,97,109,161,139,96,90,48,0.0784557907845579,0.12079701120797,0.13574097135741,0.200498132004981,0.173100871731009,0.119551681195517,0.112079701120797,0.0597758405977584,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Squid Sisters (REDALiCE Remix)","steps.sm","Squid Sisters","dance-double","Challenge",12,6.35368244081012,12.0000480001926,0.0947075208913649,0,0,0,718,41,81,91,150,135,89,91,40,0.0571030640668524,0.112813370473538,0.126740947075209,0.20891364902507,0.188022284122563,0.123955431754875,0.126740947075209,0.0557103064066852,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Spection","steps.sm","Spection","dance-double","Challenge",10,4.67883580909146,11.3865388337907,0.0657370517928287,0.286852589641434,0,0,502,43,60,63,105,94,57,48,32,0.0856573705179283,0.119521912350598,0.125498007968127,0.209163346613546,0.187250996015936,0.113545816733068,0.0956175298804781,0.0637450199203187,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Robot Language","steps.sm","Robot Language","dance-double","Challenge",11,5.72184874911235,17.6000563201825,0.0339256865912763,0.0403877221324717,0.0533117932148627,0,619,36,68,67,125,125,81,77,40,0.0581583198707593,0.109854604200323,0.108239095315024,0.201938610662359,0.201938610662359,0.130856219709208,0.124394184168013,0.0646203554119548,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Resort Sunset","steps.sm","Resort Sunset","dance-double","Challenge",12,6.90625004164953,22.6667422224747,0.0499325236167341,0.0661268556005398,0.0323886639676113,0,741,42,72,95,141,155,89,94,53,0.0566801619433198,0.097165991902834,0.128205128205128,0.190283400809717,0.209176788124157,0.120107962213225,0.126855600539811,0.0715249662618084,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Pumpkin Party in Sea Hitler's Water Apocalypse","steps.sm","Pumpkin Party in Sea Hitler's Water Apocalypse","dance-double","Challenge",11,6.04494750656168,12.5000000000025,0.0203527815468114,0.265943012211669,0,0,737,56,80,92,150,143,78,95,43,0.0759837177747626,0.108548168249661,0.12483039348711,0.203527815468114,0.194029850746269,0.105834464043419,0.128900949796472,0.0583446404341927,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Poison and or Affection","steps.sm","Poison AND/OR Affection","dance-double","Challenge",11,6.17647058823529,16,0.0408163265306122,0.0639455782312925,0,0,735,53,85,101,145,144,83,84,40,0.072108843537415,0.115646258503401,0.137414965986395,0.197278911564626,0.195918367346939,0.112925170068027,0.114285714285714,0.054421768707483,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Pocket Monster","steps.sm","Pocket Monster","dance-double","Challenge",11,6.15181322633247,16.5999900400085,0.10857908847185,0.00402144772117962,0,0,746,43,88,85,148,141,98,95,48,0.0576407506702413,0.117962466487936,0.113941018766756,0.198391420911528,0.189008042895442,0.131367292225201,0.127345844504021,0.064343163538874,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Pizza Rolls","steps.sm","Pizza Rolls","dance-double","Challenge",12,5.8585635315959,14.6668426687796,0.0470262793914246,0.170124481327801,0,0,723,53,94,83,151,149,75,84,34,0.0733056708160443,0.130013831258645,0.114799446749654,0.208852005532503,0.206085753803596,0.103734439834025,0.116182572614108,0.0470262793914246,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Nageki no ki","steps.sm","Nageki no Ki","dance-double","Challenge",15,8.30367734282325,16.0002560040954,0.0285714285714286,0,0,0,875,45,100,102,173,184,118,98,55,0.0514285714285714,0.114285714285714,0.116571428571429,0.197714285714286,0.210285714285714,0.134857142857143,0.112,0.0628571428571429,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Mr. Littleheart's Adventure","steps.sm","Mr. Littleheart's Adventure","dance-double","Challenge",15,8.26431014257858,12.4000248000533,0.0752780153977759,0,0,0,1169,75,141,127,226,225,147,140,88,0.0641573994867408,0.120615911035073,0.108639863130881,0.193327630453379,0.192472198460222,0.125748502994012,0.119760479041916,0.0752780153977759,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Move That Body!","steps.sm","Move That Body!","dance-double","Challenge",10,5.78638498816845,9.66669244451325,0.0285714285714286,0,0,0,595,37,61,78,120,124,65,72,38,0.0621848739495798,0.102521008403361,0.13109243697479,0.201680672268908,0.208403361344538,0.109243697478992,0.121008403361345,0.0638655462184874,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Matador","steps.sm","Matador","dance-double","Challenge",12,7.1672667663931,22.4004300882579,0.0447570332480818,0.0268542199488491,0.00895140664961637,0,782,47,89,96,169,156,84,94,47,0.0601023017902813,0.11381074168798,0.122762148337596,0.216112531969309,0.199488491048593,0.107416879795396,0.120204603580563,0.0601023017902813,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Level Bounce","steps.sm","Level Bounce","dance-double","Challenge",10,4.92271505376344,16.66666666667,0.0989761092150171,0.0511945392491468,0.0699658703071672,0,586,33,65,73,119,120,80,60,36,0.0563139931740614,0.110921501706485,0.12457337883959,0.203071672354949,0.204778156996587,0.136518771331058,0.102389078498294,0.0614334470989761,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Jurassic","steps.sm","Jurassic","dance-double","Challenge",10,5.21354168606228,17.3332755557476,0.0667903525046382,0,0.00371057513914657,0,539,30,56,62,106,106,71,76,32,0.0556586270871985,0.103896103896104,0.115027829313544,0.196660482374768,0.196660482374768,0.131725417439703,0.14100185528757,0.0593692022263451,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Heavenly Star","steps.sm","Heavenly Star","dance-double","Challenge",9,4.36217303822938,8,0.108856088560886,0,0,0,542,27,58,69,99,106,77,70,36,0.0498154981549815,0.107011070110701,0.127306273062731,0.182656826568266,0.195571955719557,0.142066420664207,0.129151291512915,0.0664206642066421,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Heart On Wave","steps.sm","HEART ON WAVE","dance-double","Challenge",10,5.36200983283437,8.73339563155557,0.0538922155688623,0,0,0,668,46,61,81,128,132,80,85,55,0.0688622754491018,0.0913173652694611,0.12125748502994,0.191616766467066,0.197604790419162,0.119760479041916,0.127245508982036,0.0823353293413174,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Happy Lucky Yeappy","steps.sm","HAPPY☆LUCKY☆YEAPPY","dance-double","Challenge",12,7.74074069146519,12.6667257780537,0.0369318181818182,0,0,0,704,38,75,77,146,138,85,92,53,0.0539772727272727,0.106534090909091,0.109375,0.207386363636364,0.196022727272727,0.120738636363636,0.130681818181818,0.0752840909090909,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Happy End of the World","steps.sm","Happy End of the World","dance-double","Challenge",13,7.93909349941283,19.0000285000439,0.0892655367231638,0.00225988700564972,0,0,885,76,115,106,171,157,95,102,63,0.0858757062146893,0.129943502824859,0.119774011299435,0.193220338983051,0.177401129943503,0.107344632768362,0.115254237288136,0.0711864406779661,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Full Speed Ahead","steps.sm","Full Speed Ahead","dance-double","Challenge",13,7.01954403110378,20.0000000000011,0.0893271461716937,0.163573085846868,0,0,862,66,100,97,152,158,108,114,67,0.0765661252900232,0.116009280742459,0.112529002320186,0.176334106728538,0.183294663573086,0.125290023201856,0.132250580046404,0.0777262180974478,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Follow Me","steps.sm","Follow Me","dance-double","Challenge",11,6.05429293693724,9.33340800059768,0.0321167883211679,0,0,0,685,45,77,85,133,137,78,85,45,0.0656934306569343,0.112408759124088,0.124087591240876,0.194160583941606,0.2,0.113868613138686,0.124087591240876,0.0656934306569343,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Float Like A Bvtterfly, Sting Like A Magic Hammer","steps.sm","Float Like A Bvtterfly, Sting Like A Magic Hammer","dance-double","Challenge",11,5.93903638151426,21.3333333333333,0.0701986754966887,0.0198675496688742,0.00794701986754967,0,755,61,89,91,150,147,89,77,51,0.080794701986755,0.117880794701987,0.120529801324503,0.198675496688742,0.194701986754967,0.117880794701987,0.101986754966887,0.0675496688741722,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Flipper Flop","steps.sm","Flipper Flop","dance-double","Challenge",10,5.24225907958747,8.86674173841352,0.0821643286573146,0,0,0,499,34,54,60,95,94,51,72,39,0.0681362725450902,0.108216432865731,0.120240480961924,0.190380761523046,0.188376753507014,0.102204408817635,0.144288577154309,0.0781563126252505,
"C:\Games\StepMania 5\Songs\Valex's Magical 4-Arrow Adventure 8\Exothermic (Yamajet Overheat Remix)","steps.sm","Exothermic","dance-double","Challenge",12,6.55357142857143,18.0001800018006,0.107629427792916,0.00817438692098093,0,0,734,57,80,100,135,142,79,91,50,0.0776566757493188,0.108991825613079,0.136239782016349,0.183923705722071,0.193460490463215,0.107629427792916,0.123978201634877,0.0681198910081744,
